id,requirement,status,evidence,owner_action,automatable
feed-04,Shop logo is a square PNG or SVG of at least 100 by 100 pixels,confirmed compliant,public/brand/logo.svg is a 150 by 150 square SVG and production returns image/svg+xml.,Keep the asset public and square.,yes
feed-05,RUR currency uses rate 1,confirmed compliant,The feed emits currency id RUR with rate 1.,Do not change currency without changing visible prices and region terms.,yes
feed-06,Every course uses an ID from the current official rubricator,confirmed compliant,"Pinned categories are 20006 Chinese under Languages and 10023 Chinese under School subjects, including their parents.",Re-download the official rubricator before future category changes.,yes
feed-07,Every enabled offer has a positive current price or positive monthly price from the canonical source,confirmed compliant,All 3 offers have monthly price 17990 RUR from lib/course-packages.ts; the feed uses price 0 only with this positive monthly price.,"Keep visible, contractual and feed pricing synchronized before submission.",yes
feed-08,"Every enabled offer has a valid duration with hour, day or month unit",confirmed compliant,All 3 offers have duration 1 month in the typed module source and feed.,Revalidate after any duration or package-scope change.,yes
feed-09,Every enabled offer has at least three real program stages,confirmed compliant,"All 3 offers have 4, 4, 4 reviewed, offer-specific stages backed by the canonical course content and curriculum evidence report.",Re-review the stage evidence before changing any curriculum title or scope.,yes
feed-10,Every program stage has a real positive hour allocation,confirmed compliant,"Each stage has 2 guided hours; each offer totals 8, 8, 8 guided hours across four stages and eight 60-minute lessons.",Keep stage hours synchronized with the real delivered module.,yes
feed-11,"Offer names, IDs and URLs are unique",confirmed compliant,"The 3 enabled offer IDs are unique and match the reviewed baseline: adult-individual-monthly-module, schoolchildren-12plus-individual-monthly-module, hsk-individual-monthly-module.",Keep offer IDs stable after provider submission.,yes
feed-12,Offer URLs are direct 200 production canonicals without redirects,confirmed compliant,"The enabled offers use the direct canonical paths /courses/chinese-for-adults, /courses/chinese-for-kids, /courses/hsk-preparation; the local production validator checks HTTP 200 with no redirect and exact production canonicals.",Repeat strict validation against the authorized production deployment before upload.,yes
feed-13,Feed and page price/currency are consistent,confirmed compliant,Feed monthly price 17990 RUR matches the shared package source and visible module terms on all 3 pages.,Re-run generation and validation after any pricing change.,yes
feed-14,Required offer descriptions are present and non-contradictory,confirmed compliant,"All 3 offers have non-empty typed descriptions consistent with their page audience, one-month scope and individual format.",Review descriptions together with visible page copy before submission.,yes
feed-15,Training format uses an allowed current value,confirmed compliant,All 3 offers use the allowed format value С преподавателем.,Revalidate if the delivery format or enrolment model changes.,yes
feed-16,Images in the feed are valid and supported,confirmed compliant,The required shop image is valid; no optional course images are emitted.,Add an offer image only if it is a public valid image consistent with Yandex requirements.,yes
feed-17,"Feed is public, unauthenticated, parseable and uses a supported XML Content-Type",confirmed compliant,"The App Router endpoint is public, force-static and returns application/xml; the local production validator checks the response and readiness header.",Verify the deployed response before provider upload.,yes
feed-18,Feed contains at least one eligible current offer,confirmed compliant,The feed contains 3 enabled eligible offers from the reviewed typed source.,Confirm all three products remain staffed and orderable on submission day.,yes
feed-19,Offer availability is current,not verifiable from repository,"Source pages advertise products, but live staffing and enrolment capacity are operational facts.",Owner must confirm each enabled product is actually orderable on submission day.,no
feed-20,Feed stays within Yandex size and count limits,confirmed compliant,"The 3-offer feed is far below the 200 MB, 30000-offer and image limits.",Continue reporting the offer count in strict validation.,yes
feed-21,Feed is accessible to Yandex crawler,confirmed compliant,robots.txt allows the site root and does not disallow the feed path.,Verify the deployed URL without authentication and without a redirect.,yes
feed-22,Feed is not duplicated across categories or subdomains,likely compliant but needs owner verification,No provider upload was performed and only one feed route is implemented in this repository.,Owner must confirm no equivalent feed is configured in Webmaster or on a subdomain.,no
