url,why_protected,main_queries,provider_evidence,allowed_future_changes,prohibited_future_changes
https://chinachild.ru/blog/hskk-podgotovka-ustnyy-ekzamen,"strong current organic evidence; HSK cluster default protection","hskk (44); подготовка к hskk (19); hskk это (15); подготовка к тестам экзаменам hsk hskk китайский язык (13); что такое hskk (3); hskk баллы (2); подготовка к международным экзаменам по китайскому (2); hskk средний уровень (2)","GSC 535 impressions/20 clicks; GA4 161 organic sessions; Metrica 148 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/pinyin-uchim-za-7-dney,strong current organic evidence,"как читать пиньинь (4); система пиньинь (4); пиньинь учить (2); пиньинь как читать (2); платформа по китайски (1); pinyin practice (1)","GSC 568 impressions/22 clicks; GA4 61 organic sessions; Metrica 55 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/razgovornik-kitayskogo-dlya-puteshestviy,strong current organic evidence,"фразы на китайском для туристов (27); основные фразы на китайском для туристов (23); фразы на китайском для путешествий (21); разговорник на китайском (18); фразы для поездки в китай (16); китайский для поездки (16); базовые фразы на китайском (11); фразы для путешествия в китай (8)","GSC 1139 impressions/35 clicks; GA4 98 organic sessions; Metrica 91 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/samouchitel-kitayskogo-rating-2026,strong current organic evidence,,"GSC 0 impressions/0 clicks; GA4 119 organic sessions; Metrica 132 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/skolko-ieroglifov-nuzhno-znat,"strong current organic evidence; HSK cluster default protection","сколько иероглифов в китайском языке (929); сколько всего иероглифов в китайском языке (116); количество иероглифов в китайском языке (114); сколько в китайском языке иероглифов (83); сколько китайских иероглифов (61); сколько иероглифов в китайском (54); сколько символов в китайском языке (54); hsk 1 сколько иероглифов (36)","GSC 4610 impressions/31 clicks; GA4 61 organic sessions; Metrica 72 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/slovar-hsk-1-150-slov,"strong current organic evidence; HSK cluster default protection","список слов hsk 1 (63); hsk слова (56); hsk 1 список слов (29); hsk 1 сколько слов (19); 150 слов (12); слова hsk 1 по темам (12); 150 слов для hsk 1 (11); сколько слов в hsk 1 (9)","GSC 1293 impressions/35 clicks; GA4 226 organic sessions; Metrica 219 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/chinese/hsk-test,"strong current organic evidence; HSK cluster default protection","hsk 1 пробный тест (99); hsk 1 test (53); hsk 1 тест онлайн (51); hsk 1 тест (46); hsk (38); hsk пробный тест (32); hsk 1 пробный тест онлайн (28); тест hsk (25)","GSC 2453 impressions/74 clicks; GA4 230 organic sessions; Metrica 223 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/chinese/hsk-test/level-1,"strong current organic evidence; HSK cluster default protection","hsk 1 пробный тест (139); hsk 1 test (59); hsk 1 тест (46); hsk1 тест (43); hsk 1 тесты (34); hsk1 test (32); тест hsk 1 (27); hsk 1 тест онлайн (27)","GSC 1465 impressions/38 clicks; GA4 178 organic sessions; Metrica 177 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/chinese/hsk-test/level-2,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 39 organic sessions; Metrica 39 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/chinese/hsk-test/level-3,HSK cluster default protection,"hsk 3 пробный тест (40); hsk 3 test (26); hsk3 (16); hsk3 test (7); hsk 3 задания (7); тексты на китайском hsk 3 (6); hsk 3 уровень (5); hsk 3 пробный тест онлайн (5)","GSC 332 impressions/5 clicks; GA4 36 organic sessions; Metrica 36 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/chinese/hsk-test/level-4,HSK cluster default protection,"hsk 4 пробный тест (19); hsk 4 test (7); hsk4 test (5); hsk4 тесты (5); hsk 4 онлайн тест (5); hsk 4 тесты (4); hsk 4 тест (3); hsk 4 пробник (2)","GSC 140 impressions/2 clicks; GA4 15 organic sessions; Metrica 13 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/chinese/hsk-test/result,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 27 organic sessions; Metrica 36 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/chinese/hsk-test/take,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 5 organic sessions; Metrica 13 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/cities/moscow,HSK cluster default protection,"hsk 1 сдать в москве (11); курсы китайского языка в москве онлайн (7); китайский язык онлайн москва (2); школа китайгородской (1); сдать экзамен hsk в москве (1); hsk москва (1)","GSC 29 impressions/0 clicks; GA4 0 organic sessions; Metrica 0 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/courses/hsk-preparation,"strong current organic evidence; HSK cluster default protection","подготовка к hsk (49); подготовка к hsk 2 (9); подготовка к hsk по китайскому языку (5); курсы подготовки к сдаче экзамена по китайскому языку hsk 1, 2, 3, 4, 5 (5); сертификат hsk 5 (5); hsk сертификат (5); подготовка к международным экзаменам по китайскому (4); сертификат hsk 1 (3)","GSC 270 impressions/5 clicks; GA4 129 organic sessions; Metrica 129 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 4 organic sessions; Metrica 5 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/hsk,HSK cluster default protection,"hsk 3 2.0 (4); hsk 2.0 (3)","GSC 11 impressions/0 clicks; GA4 0 organic sessions; Metrica 0 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/hsk/1,HSK cluster default protection,,"GSC 3 impressions/0 clicks; GA4 11 organic sessions; Metrica 9 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/hsk/2,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 2 organic sessions; Metrica 2 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/hsk/3,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 2 organic sessions; Metrica 1 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/hsk/4,HSK cluster default protection,"слова hsk 4 (4); список слов hsk 4 (3); hsk 4 список слов (2); словарь hsk 4 (1); hsk4 слова (1)","GSC 18 impressions/0 clicks; GA4 0 organic sessions; Metrica 0 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/hsk/5,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 5 organic sessions; Metrica 2 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/hsk/6,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 2 organic sessions; Metrica 3 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/new-hsk,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 1 organic sessions; Metrica 0 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/new-hsk/1,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 3 organic sessions; Metrica 1 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/new-hsk/2,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 2 organic sessions; Metrica 0 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/new-hsk/3,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 2 organic sessions; Metrica 1 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/new-hsk/4,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 10 organic sessions; Metrica 8 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/new-hsk/5,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 5 organic sessions; Metrica 4 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/new-hsk/6,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 3 organic sessions; Metrica 1 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/dictionary/hsk/new-hsk/7-9,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 8 organic sessions; Metrica 8 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/glossary/hsk,HSK cluster default protection,"hsk (77); hsk 3 проходной балл (12); hsk китайский язык (10); проходной балл hsk 3 (10); hsk 2 баллы (8); hsk 2 проходной балл (8); проходной балл hsk 2 (8); hsk 5 проходной балл (7)","GSC 566 impressions/4 clicks; GA4 4 organic sessions; Metrica 5 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/glossary/hsk-3-0,"strong current organic evidence; HSK cluster default protection","hsk 3.0 (171); hsk 3 (138); hsk 3 3.0 (43); новый hsk 3.0 (32); новый hsk (32); hsk3 3.0 (25); hsk 3 0 (25); hsk3.0 (23)","GSC 1883 impressions/39 clicks; GA4 55 organic sessions; Metrica 46 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/glossary/hskk,HSK cluster default protection,"hskk (70); hskk начальный уровень (40); hskk это (39); hskk zhongji (11); hskk 1 (6); hsk k (6); hskk gaoji (4); чскк (3)","GSC 345 impressions/0 clicks; GA4 4 organic sessions; Metrica 3 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/grammar/sections/hsk-3,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 4 organic sessions; Metrica 4 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/grammar/sections/new-hsk-1,HSK cluster default protection,"грамматика hsk 1 (4); hsk 1 грамматика (2); новый hsk 1 (2); китайский язык hsk 1 (1); 呢 грамматика (1); вся грамматика hsk 1 (1); грамматика китайского языка hsk 1 (1)","GSC 42 impressions/6 clicks; GA4 10 organic sessions; Metrica 7 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/grammar/tags/hsk-1,HSK cluster default protection,,"GSC 5 impressions/0 clicks; GA4 0 organic sessions; Metrica 0 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/grammar/tags/hsk-2,HSK cluster default protection,,"GSC 1 impressions/0 clicks; GA4 0 organic sessions; Metrica 0 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/guidebook/6hz18uyon1-skolko-ieroglifov-nuzhno-znat-dlya-svobo,"strong current organic evidence; HSK cluster default protection","сколько нужно знать иероглифов чтобы говорить на китайском (37); сколько иероглифов нужно знать для hsk 1 (23); hsk 5 сколько иероглифов (19); hsk 4 сколько иероглифов (19); сколько иероглифов надо знать для hsk 1 (17); сколько иероглифов нужно знать для hsk 4 (14); сколько иероглифов в китайском языке (13); количество иероглифов в китайском языке (10)","GSC 1371 impressions/8 clicks; GA4 25 organic sessions; Metrica 0 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/hsk/hsk-1,HSK cluster default protection,"hsk 1 (19); hsk 1 китайский (15); китайский язык hsk 1 (14); hsk 1 сколько слов (12); все иероглифы hsk 1 (8); hsk 1 сколько иероглифов (7); hsk 1 что нужно знать (6); hsk 1 уровень (4)","GSC 505 impressions/7 clicks; GA4 42 organic sessions; Metrica 35 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/hsk/hsk-2,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 19 organic sessions; Metrica 17 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/hsk/hsk-3,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 23 organic sessions; Metrica 16 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/hsk/hsk-4,HSK cluster default protection,,"GSC 3 impressions/0 clicks; GA4 9 organic sessions; Metrica 13 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/hsk/hsk-5,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 24 organic sessions; Metrica 19 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/hsk/hsk-6,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 7 organic sessions; Metrica 7 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/hsk1-tema1a,HSK cluster default protection,"китайский язык hsk 1 (4); hsk 1 задания (3); hsk 1 варианты (2); список иероглифов для hsk 1 (1); экзамен по китайскому языку hsk 1 уровень (1); сколько иероглифов надо знать для hsk 1 (1); все иероглифы hsk 1 (1); hsk 1 иероглифы (1)","GSC 40 impressions/2 clicks; GA4 0 organic sessions; Metrica 0 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/learn/hsk,HSK cluster default protection,"уровни китайского языка (42); hsk 3 подготовка (18); подготовка к hsk (11); уровни китайского (10); hsk (8); hsk количество слов (6); hsk сколько слов по уровням (6); сколько уровней hsk (6)","GSC 686 impressions/4 clicks; GA4 10 organic sessions; Metrica 9 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/test-hsk,"strong current organic evidence; HSK cluster default protection","hsk 1 пробный тест (231); hsk 1 пробный тест онлайн (61); hsk 1 тест (48); hsk1 пробник (43); hsk пробный тест (41); hsk 1 тест онлайн (40); hsk 1 test (31); тест на hsk 1 (31)","GSC 1873 impressions/50 clicks; GA4 42 organic sessions; Metrica 0 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/test-hsk-3,HSK cluster default protection,"hsk 3 пробный тест (26); hsk 3 пробник (21); hsk 3 тест онлайн (19); hsk 3 тесты (17); hsk 1 тест онлайн (14); hsk 3 пробный (14); hsk 3 test (13); hsk 3 пробный тест онлайн (13)","GSC 476 impressions/7 clicks; GA4 2 organic sessions; Metrica 0 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
